# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
174414.242, 347.259372, 16.871442
13169.529, 347.482910, 17.153253
45324.251, 347.275964, 16.891485
14507.399, 347.308497, 16.930342
2940.066, 347.310811, 16.932425
11217.272, 347.323271, 16.948838
27030.600, 347.333003, 16.963648
3335.052, 347.341502, 16.972073
6363.563, 347.288602, 16.904799
15387.161, 347.299190, 16.920979
3903.540, 347.372211, 17.012158
2962.375, 347.417503, 17.070334
2907.102, 347.272789, 16.884522
9229.682, 347.281944, 16.897283
2948.672, 347.317476, 16.942520
8622.784, 347.344761, 16.978266
25599.599, 347.303361, 16.927708
17920.960, 347.325827, 16.955764
68825.861, 347.352542, 16.992607
169499.276, 347.264485, 16.885355
5852.933, 347.284542, 16.903014
19479.468, 347.288090, 16.909886
11650.520, 347.333593, 16.968854
3388.533, 347.448276, 17.116275
2936.713, 347.277824, 16.897998
3415.328, 347.343829, 16.984101
3449.820, 347.353332, 16.997023
2420.164, 347.310864, 16.942921
12172.055, 347.306314, 16.938830
77511.591, 347.508121, 17.201303
50060.616, 347.283334, 16.911793
2904.415, 347.292576, 16.920881
24577.079, 347.275538, 16.901351
3919.966, 347.381603, 17.035857
6307.020, 347.312214, 16.948822
11176.914, 347.269248, 16.895236
23297.059, 347.307037, 16.944232
4893.858, 347.317938, 16.956832
13082.297, 347.322905, 16.965273
21800.102, 347.254617, 16.878654
37279.027, 347.300986, 16.938001
7250.610, 347.395156, 17.058414
26709.702, 347.364784, 17.021632
18806.956, 347.316464, 16.961378
14057.994, 347.292529, 16.929488
3436.288, 347.329006, 16.975477
10207.900, 347.274379, 16.907881
7269.129, 347.250333, 16.875445
15485.042, 347.270954, 16.905849
8312.518, 347.304003, 16.947377
11636.532, 347.282808, 16.922164
99372.943, 347.256281, 16.893241
2446.052, 347.294687, 16.937126
3853.432, 347.475552, 17.169431
3898.163, 347.249479, 16.879797
6262.514, 347.332725, 16.988228
2457.007, 347.251789, 16.883287
26060.519, 347.264491, 16.901602
6345.694, 347.338916, 16.997101
43097.709, 347.242672, 16.879994
4923.584, 347.277230, 16.917812
53705.854, 347.285482, 16.933350
36777.715, 347.302320, 16.954070
9711.726, 347.307861, 16.959742
4943.557, 347.265531, 16.905998
7243.296, 347.245864, 16.882052
16479.942, 347.267892, 16.911021
22248.319, 347.351686, 17.019932
8919.280, 347.463675, 17.162221
57442.046, 347.269956, 16.916587
11189.158, 347.321313, 16.980529
22792.174, 347.355726, 17.026286
26779.076, 347.476633, 17.180897
3372.708, 347.265243, 16.910031
5890.623, 347.309766, 16.968764
114548.638, 347.392075, 17.079689
3882.878, 347.245435, 16.886864
34004.264, 347.257477, 16.904719
2938.899, 347.288292, 16.942534
3901.313, 347.303161, 16.961793
4403.496, 347.329343, 16.995408
3914.201, 347.247302, 16.891033
15033.571, 347.271669, 16.922766
80680.501, 347.275706, 16.934505
8236.948, 347.290077, 16.946731
18875.597, 347.488028, 17.201993
32863.344, 347.282482, 16.940764
10215.901, 347.309451, 16.973824
32345.943, 347.252352, 16.901829
3458.425, 347.263734, 16.914348
41024.098, 347.247447, 16.895767
6860.432, 347.258768, 16.909632
47389.135, 347.421766, 17.120859
19309.228, 347.243739, 16.890622
14413.367, 347.319308, 16.990164
4844.508, 347.303959, 16.968570
41241.408, 347.236329, 16.884792
4836.202, 347.312690, 16.980734
9259.573, 347.381034, 17.068476
8804.786, 347.316907, 16.987105
4853.780, 347.266734, 16.923448
3352.737, 347.286328, 16.947972
3416.810, 347.366606, 17.051810
7294.980, 347.270541, 16.929093
8712.049, 347.242038, 16.894701
14053.777, 347.237788, 16.889283
12585.006, 347.248487, 16.904323
16492.996, 347.255946, 16.912693
5872.301, 347.360786, 17.047737
2967.951, 347.252821, 16.909456
2429.282, 347.263172, 16.922976
9660.708, 347.283347, 16.950601
2940.490, 347.315270, 16.991335
193870.283, 347.262074, 16.932411
17381.773, 347.241206, 16.899049
2475.471, 347.308799, 16.985258
24217.159, 347.329869, 17.013889
44868.224, 347.256856, 16.924553
25549.355, 347.231722, 16.890827
14588.816, 347.245595, 16.908597
4374.701, 347.278719, 16.948789
12667.256, 347.228906, 16.887800
11168.877, 347.248272, 16.912137
28016.852, 347.299295, 16.979218
18942.467, 347.320530, 17.006563
7278.291, 347.288717, 16.965016
21644.335, 347.233861, 16.896420
6851.272, 347.251016, 16.917578
78720.992, 347.232475, 16.901826
12142.862, 347.290153, 16.970505
7807.627, 347.364789, 17.064879
3433.309, 347.248198, 16.915909
9182.708, 347.267790, 16.943164
4934.936, 347.342400, 17.038069
2952.901, 347.265108, 16.938908
21809.905, 347.279104, 16.958612
3373.302, 347.287381, 16.968052
12658.899, 347.228799, 16.894736
11567.107, 347.283026, 16.965037
2442.243, 347.241245, 16.910311
13194.552, 347.301551, 16.989379
12669.391, 347.224650, 16.891434
5318.879, 347.293729, 16.979756
3898.375, 347.278342, 16.961697
11084.966, 347.320631, 17.017480
9792.933, 347.226670, 16.897154
248970.133, 347.233411, 16.915362
3459.140, 347.376362, 17.088545
5866.276, 347.224853, 16.894967
2958.050, 347.374166, 17.087373
3426.725, 347.269673, 16.954086
19313.923, 347.247706, 16.928480
55040.112, 347.222704, 16.898596
4347.511, 347.242968, 16.922674
107942.366, 347.258498, 16.948796
2453.489, 347.264045, 16.950597
4394.575, 347.269884, 16.959026
89872.556, 347.279818, 16.978968
2951.791, 347.253181, 16.938754
5356.982, 347.295268, 16.993718
5349.948, 347.286661, 16.983217
16442.789, 347.241994, 16.927786
36324.843, 347.224310, 16.907532
12149.206, 347.252295, 16.941843
4353.498, 347.302173, 17.005786
7764.422, 347.285534, 16.987821
5920.967, 347.291875, 16.994488
100351.518, 347.332452, 17.052503
42501.611, 347.216131, 16.900866
5361.629, 347.299658, 17.006088
16509.979, 347.248032, 16.942970
5794.193, 347.329657, 17.045843
11682.732, 347.240547, 16.934100
4456.512, 347.260958, 16.960057
3364.708, 347.219247, 16.906853
13632.484, 347.263016, 16.964463
3388.664, 347.288628, 16.997029
8823.396, 347.242772, 16.939403
8762.582, 347.269346, 16.974354
3455.766, 347.236628, 16.932398
13500.073, 347.224737, 16.920605
17870.949, 347.213820, 16.907144
45018.713, 347.217699, 16.913010
24220.805, 347.210354, 16.903080
2394.666, 347.317793, 17.039427
5301.257, 347.321038, 17.044178
4909.150, 347.228235, 16.925892
137096.516, 347.243278, 16.953082
28427.271, 347.253063, 16.961946
4800.072, 347.263122, 16.970742
21217.598, 347.282962, 16.998465
3841.136, 347.298061, 17.017031
8215.903, 347.225668, 16.925391
3904.414, 347.246142, 16.951047
4375.075, 347.271671, 16.984707
13129.725, 347.259032, 16.969821
13988.760, 347.323390, 17.051975
31036.081, 347.229228, 16.933428
13603.136, 347.235072, 16.939579
21769.563, 347.238510, 16.947975
20899.453, 347.211770, 16.912519
21039.930, 347.345258, 17.084265
5390.836, 347.264709, 16.979886
5413.413, 347.327094, 17.062767
30467.148, 347.248085, 16.964319
2451.700, 347.204660, 16.905352
84904.755, 347.204444, 16.910892
8189.860, 347.264592, 16.984592
4375.182, 347.253350, 16.970009
24665.576, 347.216980, 16.926552
36407.754, 347.208839, 16.917573
8321.188, 347.220665, 16.930344
10534.694, 347.230888, 16.943762
