# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
17283.503, 339.446069, 1.785274
8299.008, 339.413568, 1.805484
3895.749, 339.409183, 1.808150
13080.492, 339.389266, 1.820264
68184.737, 339.634284, 1.653929
2752.820, 339.479250, 1.759044
6556.858, 339.491699, 1.749351
4454.685, 339.461031, 1.770417
19235.936, 339.390943, 1.814395
3846.890, 339.392982, 1.812577
7208.033, 339.375800, 1.823308
158910.521, 339.547775, 1.705725
115056.245, 339.405043, 1.796624
13226.978, 339.483368, 1.750053
10515.242, 339.434673, 1.782552
4323.773, 339.503873, 1.736703
11663.738, 339.455189, 1.767511
5496.995, 339.395940, 1.806784
16911.730, 339.391357, 1.808116
4474.038, 339.594921, 1.674059
15304.473, 339.388178, 1.809573
4455.990, 339.376523, 1.818143
2786.366, 339.460377, 1.762133
7161.484, 339.435030, 1.776434
8205.623, 339.513095, 1.724823
9345.324, 339.441203, 1.772151
6652.450, 339.375821, 1.814108
6617.494, 339.400126, 1.796858
31189.983, 339.384090, 1.806638
93276.259, 339.625389, 1.644633
20956.452, 339.388534, 1.800739
2751.351, 339.395869, 1.797176
4998.411, 339.378255, 1.807035
22532.956, 339.538752, 1.697923
9374.709, 339.430828, 1.770267
3846.026, 339.509774, 1.718603
11459.934, 339.511906, 1.715254
3819.072, 339.391053, 1.796284
7095.198, 339.393408, 1.793102
14230.959, 339.460922, 1.745603
14263.669, 339.397544, 1.787210
8218.721, 339.404081, 1.782712
12648.495, 339.415248, 1.775021
41418.250, 339.406008, 1.778372
10447.935, 339.393833, 1.786595
11496.042, 339.475514, 1.732041
8838.604, 339.436320, 1.757333
169540.535, 339.695135, 1.582193
2771.239, 339.416569, 1.769207
3283.837, 339.545654, 1.683623
13757.148, 339.376292, 1.794631
21395.158, 339.419018, 1.764107
34104.885, 339.371354, 1.796548
43583.453, 339.436703, 1.752449
9254.156, 339.367033, 1.799404
6099.115, 339.611640, 1.637496
47775.769, 339.507872, 1.702583
4955.261, 339.481470, 1.721994
9974.840, 339.400709, 1.774805
19335.572, 339.396980, 1.776642
4406.528, 339.362080, 1.798693
4444.776, 339.448393, 1.741428
13098.136, 339.408237, 1.766585
9835.247, 339.422116, 1.756942
7652.627, 339.368238, 1.792660
3292.494, 339.455979, 1.734280
42282.530, 339.472513, 1.720212
20782.580, 339.403460, 1.767334
6180.123, 339.546711, 1.673004
3284.109, 339.479784, 1.717429
14195.929, 339.378497, 1.783100
5529.152, 339.394331, 1.773127
10265.718, 339.368320, 1.788854
18553.158, 339.373635, 1.785279
6626.106, 339.418151, 1.755541
8190.210, 339.399499, 1.767258
8303.642, 339.496962, 1.702306
6539.720, 339.395215, 1.768244
4993.692, 339.360456, 1.790591
13687.171, 339.583891, 1.641835
3904.495, 339.478311, 1.712184
4360.763, 339.466928, 1.719624
6024.849, 339.514054, 1.688162
21431.442, 339.363623, 1.786615
332902.656, 339.605888, 1.622218
80553.540, 339.438143, 1.734500
3310.103, 339.378813, 1.776781
17109.897, 339.356070, 1.790706
16523.581, 339.398477, 1.762389
47782.183, 339.671368, 1.580839
6601.935, 339.368999, 1.780005
10513.986, 339.580834, 1.639132
2785.907, 339.457168, 1.720559
8225.273, 339.466908, 1.713736
16495.434, 339.404264, 1.753123
8884.228, 339.353036, 1.788036
6075.792, 339.425734, 1.738511
3861.980, 339.364910, 1.776977
24062.769, 339.354531, 1.782133
24109.431, 339.432612, 1.728524
96903.210, 339.513104, 1.674030
3874.326, 339.487048, 1.694473
7740.276, 339.414870, 1.741774
60510.137, 339.368909, 1.769266
6577.457, 339.541664, 1.657460
5505.496, 339.472647, 1.702980
10005.941, 339.457966, 1.711665
15402.709, 339.451200, 1.714353
3257.794, 339.549389, 1.650293
4378.601, 339.474905, 1.699555
6172.128, 339.362757, 1.772884
4990.006, 339.453930, 1.712010
3860.928, 339.351692, 1.779371
4961.110, 339.498059, 1.681744
16401.771, 339.352160, 1.776158
5548.109, 339.454251, 1.709488
6727.511, 339.358582, 1.772565
3364.855, 339.434434, 1.720716
11573.664, 339.381619, 1.755118
4949.478, 339.518884, 1.664360
7738.468, 339.693500, 1.548530
4960.875, 339.425804, 1.725298
3361.097, 339.365713, 1.765086
4997.732, 339.411484, 1.733846
6098.680, 339.397016, 1.743339
8194.913, 339.373856, 1.757552
11957.362, 339.351176, 1.771739
7703.967, 339.539006, 1.648015
6628.797, 339.467480, 1.694608
50680.251, 339.458105, 1.698030
6040.001, 339.353625, 1.769128
7715.447, 339.433275, 1.716318
10963.285, 339.451802, 1.702715
4913.430, 339.398010, 1.739079
13078.260, 339.424563, 1.720123
11490.912, 339.417251, 1.725120
3320.803, 339.363170, 1.760965
8221.359, 339.572006, 1.622308
3907.128, 339.377646, 1.750682
16457.374, 339.387659, 1.742416
3856.899, 339.350201, 1.768265
5513.499, 339.438564, 1.709624
13622.416, 339.363452, 1.758342
17005.480, 339.342437, 1.771828
3846.205, 339.543737, 1.639028
10555.814, 339.352883, 1.764511
49231.094, 339.514411, 1.656536
4459.369, 339.472234, 1.684739
74908.711, 339.417632, 1.718977
6682.814, 339.359934, 1.759328
6137.431, 339.346137, 1.767734
56119.378, 339.579494, 1.610910
133926.777, 339.521380, 1.646312
11015.974, 339.436905, 1.706684
4967.405, 339.394945, 1.735021
4948.802, 339.377037, 1.746266
4989.447, 339.348762, 1.764956
24147.570, 339.604735, 1.595091
5465.645, 339.353880, 1.759773
3806.216, 339.466932, 1.684350
11028.193, 339.384116, 1.738421
10961.577, 339.360825, 1.753860
7654.563, 339.387733, 1.735930
2710.189, 339.484348, 1.671673
3882.446, 339.423967, 1.711047
3872.372, 339.404893, 1.724046
4403.903, 339.395320, 1.729513
2781.691, 339.366871, 1.748621
4958.233, 339.344029, 1.762880
4392.663, 339.341140, 1.763041
15781.510, 339.502863, 1.655280
3822.208, 339.456206, 1.686953
3310.314, 339.460215, 1.682075
13129.223, 339.408867, 1.715527
2739.541, 339.588893, 1.596919
15796.758, 339.384776, 1.730867
2727.163, 339.495570, 1.658198
314312.664, 339.401807, 1.710668
39975.230, 339.353952, 1.748852
5499.484, 339.345396, 1.755523
42589.263, 339.337600, 1.757427
6607.409, 339.420660, 1.703545
3863.193, 339.481852, 1.663210
7713.968, 339.390671, 1.721741
92474.370, 339.413589, 1.703306
8235.194, 339.394702, 1.718141
27249.976, 339.360465, 1.738586
11023.023, 339.343944, 1.750569
3928.975, 339.571092, 1.600856
18191.733, 339.389641, 1.717847
6707.126, 339.534280, 1.622169
9329.143, 339.407469, 1.705236
16557.784, 339.541065, 1.614397
3336.339, 339.573462, 1.593908
8845.397, 339.368414, 1.728720
60597.042, 339.678556, 1.520975
51968.284, 339.370487, 1.723474
4987.774, 339.331302, 1.752807
7203.627, 339.348436, 1.740463
