# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
21165.350, 301.032369, 58.788494
23661.684, 301.054660, 58.808041
35364.412, 301.089398, 58.838885
8546.238, 301.141080, 58.884011
37129.942, 300.911023, 58.678582
10680.130, 300.976846, 58.738215
2765.491, 300.998648, 58.756056
2805.627, 301.109895, 58.855879
2030.040, 301.114463, 58.859696
5544.181, 300.947525, 58.712418
2757.622, 300.966567, 58.727556
2374.802, 301.071075, 58.822109
11185.265, 301.132160, 58.878402
2421.887, 300.930814, 58.697909
7251.123, 301.116703, 58.865953
2721.768, 300.954492, 58.720335
47025.321, 301.056049, 58.817537
5339.247, 301.158822, 58.906247
28528.746, 301.178166, 58.926705
6414.851, 300.973453, 58.743627
7608.738, 301.293828, 59.030119
52219.854, 300.974390, 58.748901
6705.389, 301.080034, 58.840199
2377.942, 300.991990, 58.762559
15649.574, 301.085371, 58.849204
34849.965, 300.958916, 58.737559
5091.997, 300.964525, 58.739813
5665.817, 301.271219, 59.014344
29704.896, 301.099574, 58.864348
5949.489, 300.913227, 58.695711
2787.650, 301.061165, 58.830095
21010.368, 301.008305, 58.786058
4090.473, 301.201888, 58.957572
31674.441, 300.880978, 58.673865
4320.750, 301.082252, 58.853688
12735.917, 301.061041, 58.835929
3612.261, 300.912954, 58.702023
36681.365, 301.181451, 58.948021
38320.127, 300.982760, 58.771958
9479.922, 300.976673, 58.764836
22858.043, 301.011374, 58.797896
23670.433, 301.112041, 58.888638
31780.949, 301.134944, 58.911690
2006.630, 301.062826, 58.845345
97930.841, 301.202000, 58.976460
49803.310, 300.929097, 58.730913
4767.943, 300.918137, 58.719289
11906.294, 301.124897, 58.906189
17990.210, 300.876506, 58.682817
17831.370, 300.957159, 58.757244
43399.335, 301.210151, 58.986875
11856.910, 301.050319, 58.842017
57359.431, 301.167232, 58.949614
37195.262, 301.253410, 59.025528
17181.259, 301.056607, 58.849888
17536.543, 301.135960, 58.921518
3605.293, 300.879615, 58.689433
6455.125, 301.268965, 59.038950
2769.954, 300.974162, 58.776017
3178.523, 300.976877, 58.778556
13157.102, 300.981854, 58.786293
60281.161, 301.170871, 58.959005
156326.576, 300.902756, 58.724348
20876.934, 301.065421, 58.864954
7493.749, 300.877975, 58.693998
3563.655, 301.023616, 58.825988
69903.332, 301.241718, 59.024524
4389.164, 300.942769, 58.754453
25778.958, 301.011616, 58.820078
1991.661, 300.915609, 58.730420
27724.050, 300.875594, 58.697633
50863.991, 301.152589, 58.947875
6028.199, 300.890515, 58.709799
17955.209, 300.864057, 58.688804
5554.530, 300.924903, 58.744400
15602.415, 300.940840, 58.759565
3223.640, 300.990182, 58.802752
19285.829, 301.108040, 58.910437
4797.889, 301.191865, 58.984776
9086.338, 300.856979, 58.684287
63698.777, 300.862149, 58.694642
22060.723, 301.087420, 58.894619
8877.853, 301.245934, 59.036224
3202.117, 301.035652, 58.847962
7558.789, 300.902986, 58.730126
13577.674, 300.944739, 58.769733
17389.645, 300.972933, 58.796783
4322.047, 301.008305, 58.829576
18716.373, 300.986197, 58.811773
56538.633, 301.110097, 58.926515
113968.393, 300.868287, 58.712108
154243.778, 301.069509, 58.896478
3557.360, 301.183542, 58.988075
2745.506, 300.880842, 58.716524
6004.173, 300.944223, 58.774421
9607.930, 301.012011, 58.835687
28828.033, 300.887527, 58.726267
13457.509, 300.987899, 58.816175
3190.149, 301.181551, 58.990114
62063.932, 300.877309, 58.723961
3218.642, 300.921298, 58.757244
26403.479, 301.045340, 58.872575
142721.654, 300.899876, 58.748226
3158.729, 300.845055, 58.692275
20203.378, 300.939275, 58.780097
2753.960, 300.872356, 58.718987
6764.767, 300.924706, 58.767437
2375.924, 300.956040, 58.795079
50398.108, 300.943025, 58.788004
45575.626, 301.104825, 58.934218
9902.003, 300.880384, 58.729636
3201.693, 300.974048, 58.814689
24094.927, 301.112906, 58.941282
31076.367, 300.995438, 58.840287
64899.227, 301.167056, 58.994615
12678.987, 301.048306, 58.887157
41490.503, 300.880904, 58.741677
2367.904, 300.925997, 58.776860
6401.061, 300.989435, 58.835335
2016.047, 300.914597, 58.767604
2012.469, 301.175065, 59.001396
63387.562, 301.016078, 58.865096
6703.851, 300.874995, 58.734575
7104.138, 300.969825, 58.820263
25954.408, 301.075519, 58.917038
2793.998, 300.899376, 58.756519
3212.470, 301.053868, 58.896493
11643.095, 300.858386, 58.721920
3944.299, 300.890123, 58.750064
5189.826, 300.910855, 58.769497
15552.129, 301.107191, 58.947989
8763.752, 301.115039, 58.955623
78993.060, 300.886063, 58.754955
19470.138, 301.034905, 58.885777
2758.461, 301.131183, 58.969796
3944.875, 300.975184, 58.831002
155877.610, 301.137589, 58.982163
6777.562, 300.845665, 58.716514
3609.544, 300.934151, 58.796905
2767.917, 301.041945, 58.893386
3202.111, 300.862634, 58.733550
32777.215, 300.814670, 58.694088
8745.841, 300.920668, 58.787597
371051.398, 300.858799, 58.741266
41382.431, 300.969442, 58.834727
7554.290, 301.126400, 58.973266
33945.274, 300.831952, 58.712494
9166.714, 300.905786, 58.778200
121371.247, 301.026232, 58.890781
13589.972, 301.068251, 58.923515
11409.704, 301.189116, 59.032178
5918.139, 300.918285, 58.790852
5637.846, 301.181040, 59.026367
31141.885, 300.955237, 58.827803
2367.429, 300.963548, 58.831904
11496.019, 300.898752, 58.775728
59106.412, 300.999864, 58.871739
11909.365, 300.880551, 58.760907
16242.716, 300.949926, 58.823609
141010.532, 300.802150, 58.697056
9183.316, 300.847763, 58.731186
22361.413, 300.819724, 58.709015
2804.082, 301.076989, 58.938129
7843.383, 300.833844, 58.720414
16890.927, 300.865198, 58.751134
2442.513, 301.013990, 58.882036
11547.129, 301.061971, 58.926277
25035.825, 301.140969, 58.998487
4723.495, 300.978779, 58.852470
8797.524, 301.045608, 58.914003
8391.549, 301.097279, 58.960417
1342389.500, 300.811929, 58.724198
2741.196, 300.880724, 58.766032
1967.186, 300.888219, 58.773335
18835.144, 300.960183, 58.840166
21020.781, 300.952519, 58.837649
33537.481, 301.108569, 58.984310
1929.200, 300.998757, 58.881281
9921.635, 301.002659, 58.885971
1976.994, 301.084048, 58.957236
5491.965, 301.169067, 59.033976
8307.803, 300.844209, 58.743206
110321.571, 300.862502, 58.766430
24913.090, 301.065885, 58.947613
17003.106, 300.922343, 58.819317
139550.247, 301.022819, 58.914241
2414.751, 301.095642, 58.972963
3176.468, 300.892009, 58.790724
2418.117, 300.910138, 58.807360
1951.353, 300.940860, 58.835492
2422.496, 300.838160, 58.742850
27329.105, 300.790877, 58.703496
5196.326, 301.126167, 59.002702
2785.468, 300.893099, 58.794100
4031.196, 300.928038, 58.826083
32145.396, 301.111813, 58.995054
2824.487, 300.799263, 58.711696
11800.136, 300.987831, 58.884428
35562.259, 301.046706, 58.943070
111411.271, 301.132201, 59.022163
11519.014, 300.845823, 58.760637
3217.525, 300.975737, 58.877145
61998.832, 300.983642, 58.889221
3199.450, 300.894249, 58.805513
57079.136, 300.915932, 58.830436
5240.661, 300.960386, 58.867080
49079.142, 301.119810, 59.013059
9885.278, 300.858901, 58.777686
31354.255, 300.816255, 58.739742
17142.224, 300.988892, 58.895491
74267.339, 300.778772, 58.709672
19702.878, 300.774196, 58.704727
96389.515, 300.936341, 58.858089
3504.079, 300.950762, 58.861819
5208.217, 300.961643, 58.872391
2009.285, 300.836914, 58.759647
3267.505, 300.845610, 58.768892
11088.783, 300.907492, 58.826098
8301.525, 301.173705, 59.064770
4390.676, 300.934936, 58.853083
2750.877, 300.781164, 58.714529
15326.829, 300.821080, 58.752384
11155.045, 300.906274, 58.829865
84716.064, 300.777849, 58.721462
7545.090, 300.853142, 58.781623
612765.521, 300.820308, 58.765452
3586.300, 300.898001, 58.823012
9163.814, 301.026804, 58.940119
30266.060, 301.101021, 59.008580
21022.116, 301.141493, 59.043652
18712.823, 300.975381, 58.896130
9845.823, 300.834641, 58.768813
